term,name,definition,category,provenance,provenanceUri,note
networkInfrastructure,"Network infrastructure","A site that is primarily associated with monitoring or telemetry network infrastructure. For example a radio repeater or remote radio base station.",infrastructure,,,
ocean,Ocean,"Site in the open ocean, gulf, or sea. (See also: Coastal, Estuary, and Tidal stream).","Surface Water Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
outcrop,Outcrop,"The part of a rock formation that appears at the surface of the surrounding land.","Land Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
outfall,Outfall,"A site where water or wastewater is returned to a surface-water body, e.g. the point where wastewater is returned to a stream. Typically, the discharge end of an effluent pipe.","Facility Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
pavement,Pavement,"A surface site where the land surface is covered by a relatively impermeable material, such as concrete or asphalt. Pavement sites are typically part of transportation infrastructure, such as roadways, parking lots, or runways.","Land Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
playa,Playa,"A dried-up, vegetation-free, flat-floored area composed of thin, evenly stratified sheets of fine clay, silt or sand, and represents the bottom part of a shallow, completely closed or undrained desert lake basin in which water accumulates and is quickly evaporated, usually leaving deposits of soluble salts.","Land Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
septicSystem,"Septic system","A site within or in close proximity to a subsurface sewage disposal system that generally consists of: (1) a septic tank where settling of solid material occurs, (2) a distribution system that transfers fluid from the tank to (3) a leaching system that disperses the effluent into the ground.","Water Infrastructure Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
shore,Shore,"The land along the edge of the sea, a lake, or a wide river where the investigator considers the proximity of the water body to be important. Land adjacent to a reservoir, lake, impoundment, or oceanic site type is considered part of the shore when it includes a beach or bank between the high and low water marks.","Land Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
sinkhole,Sinkhole,"A crater formed when the roof of a cavern collapses; usually found in limestone areas. Surface water and precipitation that enters a sinkhole usually evaporates or infiltrates into the ground, rather than draining into a stream.","Land Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
soilHole,"Soil hole","A small excavation into soil at the top few meters of earth surface. Soil generally includes some organic matter derived from plants. Soil holes are created to measure soil composition and properties. Sometimes electronic probes are inserted into soil holes to measure physical properties, and (or) the extracted soil is analyzed.","Land Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
spring,Spring,"A location at which the water table intersects the land surface, resulting in a natural flow of groundwater to the surface. Springs may be perennial, intermittent, or ephemeral.","Spring Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
stormSewer,"Storm sewer","An underground conduit created to convey storm drainage into a stream channel or reservoir. If the sewer also conveys liquid waste products, then the ""combined sewer"" secondary site type should be used.","Water Infrastructure Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
stream,Stream,"A body of running water moving under gravity flow in a defined channel. The channel may be entirely natural, or altered by engineering practices through straightening, dredging, and (or) lining. An entirely artificial channel should be qualified with the ""canal"" or ""ditch"" secondary site type.","Surface Water Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
subsurface,Subsurface,"A location below the land surface, but not a well, soil hole, or excavation.","Groundwater Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
thermoelectricPlant,"Thermoelectric plant","A facility that uses water in the generation of electricity from heat. Typically turbine generators are driven by steam. The heat may be caused by various means, including combustion, nuclear reactions, and geothermal processes.","Facility Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
tidalStream,"Tidal stream","A stream reach where the flow is influenced by the tide, but where the water chemistry is not normally influenced. A site where ocean water typically mixes with stream water should be coded as an estuary.","Surface Water Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
tunnelShaftMine,"Tunnel, shaft, or mine","A constructed subsurface open space large enough to accommodate a human that is not substantially open to the atmosphere and is not a well. The excavation may have been for minerals, transportation, or other purposes. See also: Excavation.","Groundwater Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
unknown,Unknown,"Site type is unknown.",Unknown,,,
unsaturatedZone,"Unsaturated zone","A site equipped to measure conditions in the subsurface deeper than a soil hole, but above the water table or other zone of saturation.","Groundwater Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
volcanicVent,"Volcanic vent","Vent from which volcanic gases escape to the atmosphere. Also known as fumarole.","Geologic Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
wastewaterLandApplication,"Wastewater land application","A site where the disposal of waste water on land occurs. Use ""waste-injection well"" for underground waste-disposal sites.","Land Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
wastewaterSewer,"Wastewater sewer","An underground conduit created to convey liquid and semisolid domestic, commercial, or industrial waste into a treatment plant, stream, reservoir, or disposal site. If the sewer also conveys storm water, then the ""combined sewer"" secondary site type should be used.","Water Infrastructure Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
wastewaterTreatmentPlant,"Wastewater-treatment plant","A facility where wastewater is treated to reduce concentrations of dissolved and (or) suspended materials prior to discharge or reuse.","Facility Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
waterDistributionSystem,"Water-distribution system","A site located somewhere on a networked infrastructure that distributes treated or untreated water to multiple domestic, industrial, institutional, and (or) commercial users. May be owned by a municipality or community, a water district, or a private concern.","Water Infrastructure Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
waterSupplyTreatmentPlant,"Water-supply treatment plant","A facility where water is treated prior to use for consumption or other purpose.","Facility Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
waterUseEstablishment,"Water-use establishment","A place-of-use (a water using facility that is associated with a specific geographical point location, such as a business or industrial user) that cannot be specified with any other facility secondary type. Water-use place-of-use sites are establishments such as a factory, mill, store, warehouse, farm, ranch, or bank. See also: Aggregate water-use-establishment.","Facility Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
wetland,Wetland,"Land where saturation with water is the dominant factor determining the nature of soil development and the types of plant and animal communities living in the soil and on its surface (Cowardin, December 1979). Wetlands are found from the tundra to the tropics and on every continent except Antarctica. Wetlands are areas that are inundated or saturated by surface or groundwater at a frequency and duration sufficient to support, and that under normal circumstances do support, a prevalence of vegetation typically adapted for life in saturated soil conditions. Wetlands generally include swamps, marshes, bogs and similar areas. Wetlands may be forested or unforested, and naturally or artificially created.","Surface Water Sites","Adapted from USGS Site Types.",,http://wdr.water.usgs.gov/nwisgmap/help/sitetype.html
