Term,UnitsTypeCV,UnitsAbbreviation,UnitsName,UnitsLink
revolutionPerHour,Angular velocity or frequency,rev/h,Revolution per Hour,http://qudt.org/vocab/unit#RevolutionPerHour
revolutionPerMinute,Angular velocity or frequency,rev/min,Revolution per Minute,http://qudt.org/vocab/unit#RevolutionPerMinute
revolutionPerSecond,Angular velocity or frequency,rev/s,Revolution per Second,http://qudt.org/vocab/unit#RevolutionPerSecond
rotationPerMinute,Angular velocity or frequency,rpm,Rotation per Minute,http://www.unidata.ucar.edu/software/udunits/
rotationPerSecond,Angular velocity or frequency,rps,Rotation per Second,http://www.unidata.ucar.edu/software/udunits/
acre,Area,acr_us,Acre,http://qudt.org/vocab/unit#Acre
"acre,British",Area,acr_br,"Acre, British",http://unitsofmeasure.org/ucum.html#para-36
are,Area,ar,Are,http://qudt.org/vocab/unit#Are
barn,Area,b,Barn,http://qudt.org/vocab/unit#Barn
circularMil,Area,cml_i,Circular Mil,http://qudt.org/vocab/unit#CircularMil
darcy,Area,D,Darcy,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
hectare,Area,ha,Hectare,http://qudt.org/vocab/unit#Hectare
planckArea,Area,,Planck Area,http://qudt.org/vocab/unit#PlanckArea
section,Area,sct,Section,http://unitsofmeasure.org/ucum.html#para-35
squareCentimeter,Area,cm^2,Square Centimeter,http://qudt.org/vocab/unit#SquareCentimeter
squareFoot,Area,sft_i,Square Foot,http://qudt.org/vocab/unit#SquareFoot; http://unitsofmeasure.org/ucum.html#para-34
squareInch,Area,sin_i,Square Inch,http://qudt.org/vocab/unit#SquareInch; http://unitsofmeasure.org/ucum.html#para-34
squareKilometer,Area,km^2,Square Kilometer,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
squareMeter,Area,m^2,Square Meter,http://qudt.org/vocab/unit#SquareMeter
squareMile,Area,smi_us,Square Mile,http://qudt.org/vocab/unit#SquareMile; http://unitsofmeasure.org/ucum.html#para-35
squareRod,Area,srd_us,Square Rod,http://unitsofmeasure.org/ucum.html#para-35
squareYard,Area,syd_i,Square Yard,http://qudt.org/vocab/unit#SquareYard; http://unitsofmeasure.org/ucum.html#para-34
township,Area,twp,Township,http://unitsofmeasure.org/ucum.html#para-35
squareMeterSteradian,Area angle,m^2-sr,Square Meter Steradian,http://qudt.org/vocab/unit#SquareMeterSteradian
squareMeterPerKilometer,Area per length,m^2/km,Square Meter per Kilometer,
squareMeterPerMeter,Area per length,m^2/m,Square Meter per Meter,
squareFootDegreeFahrenheit,Area temperature,ft^2-degF,Square Foot Degree Fahrenheit,http://qudt.org/vocab/unit#SquareFootDegreeFahrenheit
squareMeterKelvin,Area temperature,m^2-K,Square Meter Kelvin,http://qudt.org/vocab/unit#SquareMeterKelvin
squareMeterPerKelvin,Area thermal expansion,m^2/K,Square Meter per Kelvin,http://qudt.org/vocab/unit#SquareMeterPerKelvin
hourSquareFoot,Area time,hr-ft^2,Hour Square Foot,http://qudt.org/vocab/unit#HourSquareFoot
secondSquareFoot,Area time,s-ft^2,Second Square Foot,http://qudt.org/vocab/unit#SecondSquareFoot
squareCentimeterMinute,Area time,cm^2-m,Square Centimeter Minute,http://qudt.org/vocab/unit#SquareCentimeterMinute
squareCentimeterSecond,Area time,cm^2-s,Square Centimeter Second,http://qudt.org/vocab/unit#SquareCentimeterSecond
squareFootHourDegreeFahrenheit,Area time temperature,ft^2-hr-degF,Square Foot Hour Degree Fahrenheit,http://qudt.org/vocab/unit#SquareFootHourDegreeFahrenheit
squareFootSecondDegreeFahrenheit,Area time temperature,ft^2-s-degF,Square Foot Second Degree Fahrenheit,http://qudt.org/vocab/unit#SquareFootSecondDegreeFahrenheit
katal,Catalytic activity,kat,Katal,http://qudt.org/vocab/unit#Katal; http://unitsofmeasure.org/ucum.html#para-45; http://www.unidata.ucar.edu/software/udunits/
unit,Catalytic activity,U,Unit,http://unitsofmeasure.org/ucum.html#para-45
admiColorUnit,Color,ADMI,Admi Color Unit,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
hazen,Color,HU,Hazen,http://environment.data.gov.au/def/unit/Hazen
platinumCobaltUnit,Color,PCU,Platinum Cobalt Unit,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
micromolePerMole,Concentration count per count,umol/mol,Micromole per Mole,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
millimolePerMole,Concentration count per count,mmol/mol,Millimole per Mole,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
molePercent,Concentration count per count,mol%,Mole percent,http://environment.data.gov.au/def/unit/MolPercent; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
molePerMole,Concentration count per count,mol/mol,Mole per Mole,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
centimolePerKilogram,Concentration count per mass,cmol/kg,Centimole per Kilogram,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
countPerGram,Concentration count per mass,#/g,Count per Gram,
micromolePerKilogram,Concentration count per mass,µmol/kg,Micromole per Kilogram,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
millimolePerKilogram,Concentration count per mass,mmol/kg,Millimole per Kilogram,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
milliosmolePerKilogram,Concentration count per mass,mOsm/kg,Milliosmole per Kilogram,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
molePerKilogram,Concentration count per mass,mol/kg,Mole per Kilogram,http://qudt.org/vocab/unit#MolePerKilogram
molePerTonne,Concentration count per mass,mol/tonne,Mole per Tonne,http://environment.data.gov.au/def/unit/MolePerTonne
mostProbableNumberPerGram,Concentration count per mass,MPN/g,Most Probable Number per Gram,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
nanomolePerKilogram,Concentration count per mass,nmol/kg,Nanomole per Kilogram,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
countPer100Gallon,Concentration count per volume,#/100 gal,Count per 100 Gallon,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
countPer100Liter,Concentration count per volume,#/100 L,Count per 100 Liter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
countPer100Milliliter,Concentration count per volume,#/100 mL,Count per 100 Milliliter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
countPer10Liter,Concentration count per volume,#/10 L,Count per 10 Liter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
countPer500Milliliter,Concentration count per volume,#/500 ml,Count per 500 Milliliter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
countPerCubicMeter,Concentration count per volume,#/m^3,Count per Cubic Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
countPerDeciliter,Concentration count per volume,#/dl,Count per Deciliter,
countPerHalfCubicFoot,Concentration count per volume,#/((ft^3)/2),Count per Half Cubic Foot,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
countPerLiter,Concentration count per volume,#/L,Count per Liter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
countPerMilliliter,Concentration count per volume,#/ml,Count per Milliliter,
internationalUnitPerLiter,Concentration count per volume,IU/L,International Unit per Liter,http://qudt.org/vocab/unit#InternationalUnitPerLiter
micromolePerLiter,Concentration count per volume,µmol/L; µM,Micromole per Liter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
millimolar,Concentration count per volume,mM,Millimolar,http://environment.data.gov.au/def/unit/MilliMolar; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
millimolePerCubicMeter,Concentration count per volume,mmol/m^3,Millimole per Cubic Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
molar,Concentration count per volume,M,Molar,
molePerCubicMeter,Concentration count per volume,mol/m^3,Mole per Cubic Meter,http://qudt.org/vocab/unit#MolePerCubicMeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
molePerLiter,Concentration count per volume,mol/L,Mole per Liter,
mostProbableNumberPer100Liter,Concentration count per volume,MPN/100 L,Most Probable Number per 100 Liter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
mostProbableNumberPer100Milliliter,Concentration count per volume,MPN/100 ml,Most Probable Number per 100 Milliliter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
nanomolePerLiter,Concentration count per volume,nmol/L,Nanomole per Liter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
normal,Concentration count per volume,N,Normal,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
grainPerGallon,Concentration or density mass per volume,gr/gal,Grain per Gallon,http://qudt.org/vocab/unit#GrainPerGallon
gramPerCubicCentimeter,Concentration or density mass per volume,g/cm^3,Gram per Cubic Centimeter,http://environment.data.gov.au/def/unit/GramsPerCubicCentimeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
gramPerCubicMeter,Concentration or density mass per volume,g/m3,Gram per Cubic Meter,
gramPerLiter,Concentration or density mass per volume,g/L,Gram per Liter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
gramPerMilliliter,Concentration or density mass per volume,g/mL,Gram per Milliliter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
kilogramPerCubicMeter,Concentration or density mass per volume,kg/m^3,Kilogram per Cubic Meter,http://qudt.org/vocab/unit#KilogramPerCubicMeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
longTonPerCubicYard,Concentration or density mass per volume,ton/yd^3,Long Ton per Cubic Yard,http://qudt.org/vocab/unit#TonLongPerCubicYard
microgramPerCubicMeter,Concentration or density mass per volume,µg/m^3,Microgram per Cubic Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
microgramPerLiter,Concentration or density mass per volume,µg/L,Microgram per Liter,http://environment.data.gov.au/def/unit/MicrogramsPerLitre; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
microgramPerMilliliter,Concentration or density mass per volume,µg/mL,Microgram per Milliliter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
milligramPerCubicMeter,Concentration or density mass per volume,mg/m^3,Milligram per Cubic Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
milligramPerLiter,Concentration or density mass per volume,mg/L,Milligram per Liter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
milligramPerMilliliter,Concentration or density mass per volume,mg/mL,Milligram per Milliliter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
nanogramPerCubicMeter,Concentration or density mass per volume,ng/m^3,Nanogram per Cubic Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
nanogramPerLiter,Concentration or density mass per volume,ng/L,Nanogram per Liter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
nanogramPerMilliliter,Concentration or density mass per volume,ng/mL,Nanogram per Milliliter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
ouncePerCubicInch,Concentration or density mass per volume,oz/in^3,Ounce per Cubic Inch,http://qudt.org/vocab/unit#OuncePerCubicInch
ouncePerGallon,Concentration or density mass per volume,oz/gal,Ounce per Gallon,http://qudt.org/vocab/unit#OuncePerGallon
picogramPerCubicMeter,Concentration or density mass per volume,pg/m^3,Picogram per Cubic Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
picogramPerLiter,Concentration or density mass per volume,pg/L,Picogram per Liter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
picogramPerMilliliter,Concentration or density mass per volume,pg/ml,Picogram per Milliliter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
planckDensity,Concentration or density mass per volume,,Planck Density,http://qudt.org/vocab/unit#PlanckDensity
poundPerCubicFoot,Concentration or density mass per volume,lb/ft^3,Pound per Cubic Foot,http://qudt.org/vocab/unit#PoundPerCubicFoot
poundPerCubicInch,Concentration or density mass per volume,lb/in^3,Pound per Cubic Inch,http://qudt.org/vocab/unit#PoundPerCubicInch
poundPerCubicMeter,Concentration or density mass per volume,lb/m^3,Pound per Cubic Meter,http://qudt.org/vocab/unit#PoundPerCubicMeter
poundPerCubicYard,Concentration or density mass per volume,lb/yd^3,Pound per Cubic Yard,http://qudt.org/vocab/unit#PoundPerCubicYard
poundPerGallon,Concentration or density mass per volume,lb/gal,Pound per Gallon,http://qudt.org/vocab/unit#PoundPerGallon
shortTonPerAcreFoot,Concentration or density mass per volume,ton/ac ft,Short Ton per Acre Foot,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
shortTonPerCubicYard,Concentration or density mass per volume,ton/yd,Short Ton per Cubic Yard,http://qudt.org/vocab/unit#TonShortPerCubicYard
slugPerCubicFoot,Concentration or density mass per volume,slug/ft^3,Slug per Cubic Foot,http://qudt.org/vocab/unit#SlugPerCubicFoot
cubicFootPerBarrel,Concentration volume per volume,ft^3/bbl,Cubic Foot per Barrel,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
cubicMeterPerCubicMeter,Concentration volume per volume,m^3/m^3,Cubic Meter per Cubic Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
milliliterPerLiter,Concentration volume per volume,mL/L,Milliliter per Liter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
percentByVolume,Concentration volume per volume,% by vol,Percent By Volume,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
perMilleByVolume,Concentration volume per volume,‰ by vol,Per Mille By Volume,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
count,Count,,Count,http://www.unidata.ucar.edu/software/udunits/
event,Count,,Event,
internationalUnit,Count,IU; iU,International Unit,http://qudt.org/vocab/unit#InternationalUnit; http://unitsofmeasure.org/ucum.html#para-45
micromole,Count,µmol,Micromole,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
millimole,Count,mmol,Millimole,
mole,Count,mol,Mole,http://qudt.org/vocab/unit#Mole; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/
mostProbableNumber,Count,MPN,Most Probable Number,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html
number,Count,#,Number,http://qudt.org/vocab/unit#Number
osmole,Count,osm,Osmole,http://unitsofmeasure.org/ucum.html#para-45
countPer0.1SquareMeter,Count per area,#/0.1 m^2,Count per 0.1 Square Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
countPer1000SquareMeter,Count per area,#/1000 m^2,Count per 1000 Square Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
countPerSquareMeter,Count per area,#/m^2,Count per Square Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
countPerSquareMillimeter,Count per area,#/mm^2,Count per Square Millimeter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
countsPerSquareCentimeter,Count per area,#/cm^2,Counts per Square Centimeter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
dobson,Count per area,,Dobson,https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml
microeinsteinPerSquareMeter,Count per area,µE/m^2,Microeinstein per Square Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
millimoleOfPhotonPerSquareMeter,Count per area,mmol/m^2,Millimole of Photon per Square Meter,http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048
afghani,Currency,AFN,Afghani,http://qudt.org/vocab/unit#Afghani
algerianDinar,Currency,DZD,Algerian Dinar,http://qudt.org/vocab/unit#AlgerianDinar
argentinePeso,Currency,ARS,Argentine Peso,http://qudt.org/vocab/unit#ArgentinePeso
armenianDram,Currency,AMD,Armenian Dram,http://qudt.org/vocab/unit#ArmenianDram
arubanGuilder,Currency,AWG,Aruban Guilder,http://qudt.org/vocab/unit#ArubanGuilder
australianDollar,Currency,AUD,Australian Dollar,http://qudt.org/vocab/unit#AustralianDollar
azerbaijanianManat,Currency,AZN,Azerbaijanian Manat,http://qudt.org/vocab/unit#AzerbaijanianManat
bahamianDollar,Currency,BSD,Bahamian Dollar,http://qudt.org/vocab/unit#BahamianDollar
bahrainiDinar,Currency,BHD,Bahraini Dinar,http://qudt.org/vocab/unit#BahrainiDinar
baht,Currency,THB,Baht,http://qudt.org/vocab/unit#Baht
balboa,Currency,PAB,Balboa,http://qudt.org/vocab/unit#Balboa
bangladeshiTaka,Currency,BDT,Bangladeshi Taka,http://qudt.org/vocab/unit#BangladeshiTaka
barbadosDollar,Currency,BBD,Barbados Dollar,http://qudt.org/vocab/unit#BarbadosDollar
belarussianRuble,Currency,BYR,Belarussian Ruble,http://qudt.org/vocab/unit#BelarussianRuble
belizeDollar,Currency,BZD,Belize Dollar,http://qudt.org/vocab/unit#BelizeDollar
bermudaDollar,Currency,BMD,Bermuda Dollar,http://qudt.org/vocab/unit#BermudaDollar
bolivianMvdol(FundsCode),Currency,BOV,Bolivian Mvdol (Funds Code),http://qudt.org/vocab/unit#BolivianMvdol
boliviano,Currency,BOB,Boliviano,http://qudt.org/vocab/unit#Boliviano
brazilianReal,Currency,BRL,Brazilian Real,http://qudt.org/vocab/unit#BrazilianReal
bruneiDollar,Currency,BND,Brunei Dollar,http://qudt.org/vocab/unit#BruneiDollar
bulgarianLev,Currency,BGN,Bulgarian Lev,http://qudt.org/vocab/unit#BulgarianLev
burundianFranc,Currency,BIF,Burundian Franc,http://qudt.org/vocab/unit#BurundianFranc
canadianDollar,Currency,CAD,Canadian Dollar,http://qudt.org/vocab/unit#CanadianDollar
capeVerdeEscudo,Currency,CVE,Cape Verde Escudo,http://qudt.org/vocab/unit#CapeVerdeEscudo
caymanIslandsDollar,Currency,KYD,Cayman Islands Dollar,http://qudt.org/vocab/unit#CaymanIslandsDollar
cedi,Currency,GHS,Cedi,http://qudt.org/vocab/unit#Cedi
cfaFrancBceao,Currency,XOF,Cfa Franc Bceao,http://qudt.org/vocab/unit#CFAFrancBCEAO
cfaFrancBeac,Currency,XAF,Cfa Franc Beac,http://qudt.org/vocab/unit#CFAFrancBEAC
cfpFranc,Currency,XPF,Cfp Franc,http://qudt.org/vocab/unit#CFPFranc
chileanPeso,Currency,CLP,Chilean Peso,http://qudt.org/vocab/unit#ChileanPeso
colombianPeso,Currency,COP,Colombian Peso,http://qudt.org/vocab/unit#ColombianPeso
comoroFranc,Currency,KMF,Comoro Franc,http://qudt.org/vocab/unit#ComoroFranc
convertibleMarks,Currency,BAM,Convertible Marks,http://qudt.org/vocab/unit#ConvertibleMark
cordobaOro,Currency,NIO,Cordoba Oro,http://qudt.org/vocab/unit#CordobaOro
costaRicanColon,Currency,CRC,Costa Rican Colon,http://qudt.org/vocab/unit#CostaRicanColon
croatianKuna,Currency,HRK,Croatian Kuna,http://qudt.org/vocab/unit#CroatianKuna
cubanPeso,Currency,CUP,Cuban Peso,http://qudt.org/vocab/unit#CubanPeso
cyprusPound,Currency,CYP,Cyprus Pound,http://qudt.org/vocab/unit#CyprusPound
czechKoruna,Currency,CZK,Czech Koruna,http://qudt.org/vocab/unit#CzechKoruna
dalasi,Currency,GMD,Dalasi,http://qudt.org/vocab/unit#Dalasi
danishKrone,Currency,DKK,Danish Krone,http://qudt.org/vocab/unit#DanishKrone
denar,Currency,MKD,Denar,http://qudt.org/vocab/unit#Denar
djiboutiFranc,Currency,DJF,Djibouti Franc,http://qudt.org/vocab/unit#DjiboutiFranc
dobra,Currency,STD,Dobra,http://qudt.org/vocab/unit#Dobra
dominicanPeso,Currency,DOP,Dominican Peso,http://qudt.org/vocab/unit#DominicanPeso
eastCaribbeanDollar,Currency,XCD,East Caribbean Dollar,http://qudt.org/vocab/unit#EastCaribbeanDollar
egyptianPound,Currency,EGP,Egyptian Pound,http://qudt.org/vocab/unit#EgyptianPound
